Height/width [cm];Load (UDL) [kN];Displ. [cm];Beam lenght [m]
99.117886;19.823577;0.501881;9.911789
91.695096;18.339019;0.430015;9.16951
53.474794;10.694959;0.147852;5.347479
96.037846;19.207569;0.471387;9.603785
74.669579;14.933916;0.286147;7.466958
61.171606;12.234321;0.19284;6.117161
56.619109;11.323822;0.16551;5.661911
85.099728;17.019946;0.370818;8.509973
96.047481;19.209496;0.471481;9.604748
55.022328;11.004466;0.156418;5.502233
66.623475;13.324695;0.228317;6.662347
56.249624;11.249925;0.163383;5.624962
75.698999;15.1398;0.294016;jul.99
63.345431;12.669086;0.206627;6.334543
99.007147;19.801429;0.500768;9.900715
87.435454;17.487091;0.391281;8.743545
80.773633;16.154727;0.334369;8.077363
82.607096;16.521419;0.349586;8.26071
92.922092;18.584418;0.441512;9.292209
66.204966;13.240993;0.225488;6.620497
82.109633;16.421927;0.345424;8.210963
53.21619;10.643238;0.146444;5.321619
88.00649;17.601298;0.396368;8.800649
76.242692;15.248538;0.298215;7.624269
98.723944;19.744789;0.497927;9.872394
78.58997;15.717994;0.316687;7.858997
90.914264;18.182853;0.422778;9.091426
70.801384;14.160277;0.257531;7.080138
84.016506;16.803301;0.361515;8.401651
94.062776;18.812555;0.452336;9.406278
91.809992;18.361998;0.431085;9.180999
85.412054;17.082411;0.373523;8.541205
91.486743;18.297349;0.428078;9.148674
64.941742;12.988348;0.217054;6.494174
88.030746;17.606149;0.396585;8.803075
89.398551;17.87971;0.408905;8.939855
70.56533;14.113066;0.255833;7.056533
85.296615;17.059323;0.372522;8.529662
58.655386;11.731077;0.177476;5.865539
82.301809;16.460362;0.347029;8.230181
68.78396;13.756792;0.243205;6.878396
68.744132;13.748826;0.242926;6.874413
92.495281;18.499056;0.437496;9.249528
70.014537;14.002907;0.251894;7.001454
72.118691;14.423738;0.267107;7.211869
98.771791;19.754358;0.498406;9.877179
68.401979;13.680396;0.240538;6.840198
71.913608;14.382722;0.265604;7.191361
97.72999;19.545998;0.488022;9.772999
92.956896;18.591379;0.44184;9.29569
66.646792;13.329358;0.228475;6.664679
86.150325;17.230065;0.379954;8.615032
97.925413;19.585083;0.489961;9.792541
90.147846;18.029569;0.415734;9.014785
79.570359;15.914072;0.324566;7.957036
95.901696;19.180339;0.470061;9.59017
53.688606;10.737721;0.149021;5.368861
77.232102;15.44642;0.305934;7.72321
97.313902;19.46278;0.483904;9.73139
96.079609;19.215922;0.471794;9.607961
70.257342;14.051468;0.253627;7.025734
85.817724;17.163545;0.37705;8.581772
51.083222;10.216644;0.135089;5.108322
51.984704;10.396941;0.139832;5.19847
63.212336;12.642467;0.205769;6.321234
81.211421;16.242284;0.337972;8.121142
64.762881;12.952576;0.215873;6.476288
60.757257;12.151451;0.190266;6.075726
75.314685;15.062937;0.291066;7.531468
59.608596;11.921719;0.183221;5.96086
66.870124;13.374025;0.229993;6.687012
95.477017;19.095403;0.465937;9.547702
73.951711;14.790342;0.280722;7.395171
60.620283;12.124057;0.189419;6.062028
97.421006;19.484201;0.484963;9.742101
63.365501;des.31;0.206756;6.33655
60.720909;12.144182;0.190041;6.072091
67.991953;13.598391;0.237692;6.799195
54.124001;okt.48;0.151416;mai.24
99.952153;19.990431;0.510305;9.995215
60.187991;12.037598;0.186758;6.018799
69.000655;13.800131;0.244724;6.900066
73.071394;14.614279;0.274141;7.307139
91.05961;18.211922;0.424121;9.105961
77.415985;15.483197;0.307379;7.741598
55.659667;11.131933;0.160016;5.565967
87.48664;17.497328;0.391736;8.748664
51.338897;10.267779;0.136426;5.13389
85.371383;17.074277;0.37317;8.537138
92.12905;18.42581;0.434064;9.212905
85.709945;17.141989;0.376111;8.570995
93.333228;18.666646;0.445398;9.333323
87.982713;17.596543;0.396155;8.798271
62.575777;12.515155;0.201691;6.257578
62.044467;12.408893;0.198319;6.204447
82.966236;16.593247;0.352607;8.296624
67.66091;13.532182;0.235407;6.766091
90.510576;18.102115;0.419061;9.051058
56.8022;11.36044;0.166569;5.68022
90.90727;18.181454;0.422714;9.090727
84.00891;16.801782;0.36145;8.400891
57.644722;11.528944;0.171485;5.764472
96.598923;19.319785;0.476871;9.659892
88.121394;17.624279;0.397395;8.812139
76.086773;15.217355;0.297008;7.608677
71.169774;14.233955;0.260191;7.116977
62.198614;12.439723;0.199294;6.219861
87.305131;17.461026;0.390125;8.730513
92.726839;18.545368;0.439672;9.272684
66.204858;13.240972;0.225487;6.620486
85.180787;17.036157;0.371519;8.518079
85.696653;17.139331;0.375996;8.569665
73.108101;14.62162;0.274414;7.31081
97.361749;19.47235;0.484377;9.736175
85.891617;17.178323;0.377694;8.589162
51.256687;10.251337;0.135995;5.125669
