Length [m];Hei/Wid [cm];Load [kN/m];Disp [cm]
5.174199;15.946569;13.615982;1.125594
9.364952;24.328512;10.822437;1.770993
7.687200;13.699968;17.092245;12.61649
8.029446;11.607379;15.012694;25.59125
6.934048;39.420617;15.745649;0.113059
7.204352;11.891558;16.852334;16.90366
8.699644;11.584040;13.656738;32.33744
8.965170;31.545332;16.433214;0.800124
6.368755;18.915874;13.206405;1.265474
6.025633;11.453783;18.917923;10.79146
7.415668;13.572473;17.550313;11.64699
6.610243;33.332343;12.334409;0.142848
6.193898;33.322693;13.160667;0.117734
7.641185;16.153051;18.819665;7.019744
9.361888;38.731668;10.430669;0.266044
7.886777;33.939583;10.186168;0.222017
8.709115;23.859793;11.821632;1.564302
9.667930;23.206373;19.468390;4.369782
9.233001;11.113953;12.276634;43.52455
7.421523;22.924693;13.773417;1.128323
6.925061;18.694555;11.946249;1.676700
9.753015;23.932395;19.782233;4.065737
7.190484;37.686694;14.076827;0.139751
5.735688;19.229302;14.681492;0.867113
5.685703;32.916845;13.906490;0.092875
8.905125;31.726492;16.674078;0.772482
9.438561;39.269969;10.636190;0.265241
7.756655;18.360073;10.060072;2.387861
5.581888;32.361781;13.744078;0.091272
8.249637;35.290965;10.361369;0.231250
8.382380;29.768772;16.414422;0.770224
7.132693;37.685345;14.191511;0.136449
6.651655;20.089342;13.422918;1.203072
5.776810;30.269493;11.959376;0.118852
6.347410;33.201192;12.772641;0.127823
5.120795;17.296128;14.622496;0.838322
8.766607;28.694955;14.930090;0.970347
6.484973;32.809575;12.236437;0.139847
6.007488;12.659235;19.757846;7.463859
5.212148;14.441698;12.536836;1.585675
8.579661;26.079621;13.560426;1.184541
9.825255;32.347959;15.248129;0.968230
8.082354;32.233100;18.657358;0.550954
7.884697;32.111480;18.971593;0.515226
6.314312;31.865179;11.948162;0.137941
6.395829;38.680713;16.328818;0.091646
6.735691;24.817260;16.406792;0.664671
9.507670;16.836083;15.542048;11.77012
6.780012;36.515385;14.116900;0.125745
5.224626;24.033679;18.906533;0.315821
7.115615;29.038176;18.460887;0.497310
5.952970;14.957064;11.398768;2.131533
8.880590;23.540660;11.265927;1.700676
9.987674;21.852330;17.926206;5.827390
5.603143;31.113145;12.869144;0.101492
5.421184;32.014173;13.833748;0.085371
7.174468;26.641819;16.745609;0.657503
6.951513;34.470667;12.410752;0.153665
